,CrATFL_126_1_Proteins_norm,CrATFL_127N_1_Proteins_norm,CrATFL_127C_1_Proteins_norm,CrATKO_128N_1_Proteins_norm,CrATKO_128C_1_Proteins_norm,CrATKO_129N_1_Proteins_norm,DFC_129C_1_Proteins_norm,DFC_130N_1_Proteins_norm,DKO_130C_1_Proteins_norm,DKO_131_1_Proteins_norm
2015,81.39646764902851,77.5577883133124,100.50976223396897,89.52144235249737,75.60841004952188,82.76717294141571,81.08803955793772,85.9188418560391,65.03613292026802,94.10164766552684
2016,21.605235240174235,23.154388258585982,25.49029168569069,26.26092474680675,25.20280334984063,24.08140239615763,20.994290526876988,28.301483917160454,26.871842701782768,24.763591490928118
2017,157.26601465522177,155.30382368563767,173.9871154916539,144.67914674634798,177.22290004967613,165.12961643079515,159.47956473627656,159.15780740510664,178.27428718497907,204.39487438281438
2018,91.44541427236535,115.58369423391702,110.30674266832695,114.4156275214034,111.9566762353478,115.44907619334393,126.0620472462476,122.74120265148441,115.74758704620048,123.53222370666832
2019,64.31325838935587,58.921329471035875,62.77324500533081,57.50068652739471,63.05721316215105,67.18508903801961,60.76787762596046,60.86340627346334,69.74131938556073,60.766043735431296
2020,28.2626623781349,26.07221767328584,32.29375032066151,33.09462263631037,34.74171298424246,40.9788570186716,37.84750539936998,35.40221464906451,36.80501412851181,34.66902808729936
2021,108.15178803366288,102.50052363252088,100.69118779756819,104.2627049427123,96.99564954560176,107.860398967664,92.16300933129027,73.94903862225797,94.20828900508278,88.38697270608189
2022,49.99350945110084,38.7788941566562,37.555091665038944,33.387495403003385,37.05113321151869,33.79490924502793,42.08488513873965,45.74899371555328,41.92843939071942,44.95544301430028
2023,256.6249743934649,277.1937943964866,277.12754839781155,271.2001819577292,274.92141662097066,284.32244005547454,278.60771786355565,293.86881329037215,250.8387184497154,269.92314725111646
2024,60.54490340560454,54.591647113739306,56.69548862475687,53.00997077143519,56.430181205619256,62.63188270261165,48.72986700275118,64.71808867078269,64.09509562720947,54.00367836675478
2026,130.38508243779566,98.1708412752243,101.96116674276276,93.71928534176388,96.19237294481005,87.72510872885994,122.78770835673467,98.49727915255484,123.69412418758371,103.43561676595358
2027,32.28224102746964,24.942735319208477,30.479494684669294,26.846670280192775,24.901574624543727,21.855390409958186,28.409705070773906,25.055435582575743,39.62812600768743,30.85924478100273
2028,28.38827421092661,25.50747649624716,24.673876649494186,24.79656091334169,30.926149130481726,26.91450856041147,24.557541671346936,25.258313603487284,23.107693529548605,24.573102325613284
2029,21.605235240174235,36.143435330475675,32.47517588426073,51.936103960227484,30.725329980283792,39.258756847517475,38.23272173931268,44.836042621451334,36.70045442928308,30.954489363660144
2030,46.35076630014123,56.09762358584246,63.77108560512652,63.260517605690616,67.97728234200042,62.42951797659352,67.12394723501495,55.08138267748432,60.33094645497532,65.5282728683021
2031,61.54979806793823,49.03835887285893,53.52054126177048,55.93869843836531,50.003968399285384,50.793546230550966,61.44200622086017,62.790747472123016,61.37654344726259,60.00408707417198
2032,76.87444166852693,73.41635301502872,81.36936527425105,83.46873850750845,82.53667073135058,79.02342551008029,75.50240262876862,77.49940398820999,78.6288938200025,76.957622787192
2033,101.99680822686906,130.54933542544208,113.75382837671218,113.63463347688871,113.06118156143643,114.03252311121702,116.81685508762287,105.09081483218003,115.32934824928557,121.15110914023295
2034,22.61012990250792,23.719129435624662,31.93089919346307,31.435010291716637,27.713042727314793,28.128696916520255,30.239482685501713,36.72092178498956,20.38914134960171,26.382749396104185
2035,90.8173551084068,79.53438243294778,82.91148256484445,76.04929508461882,78.62069730249088,70.1193775652825,74.8282740338689,61.67491835710952,74.23738645239597,75.62419862998817
2036,103.88098571874472,153.60960015452162,132.44066142743205,149.56035952456483,129.52835187766698,127.2874126654046,145.5154724133538,147.08656516086975,141.26015365800978,139.62855817577162
2037,7.53670996750264,5.553288240880378,6.984884198570046,7.712316189582652,4.317611729255566,5.059118150453283,8.18584722378231,8.317998857373324,2.927671578404348,7.714811195250682
2038,244.44062661266895,256.11012378704254,230.4104657710119,212.72325287469113,207.84782045486094,205.50137927141236,218.8028810874519,209.57299560162545,222.60759965795918,224.30099215821429
2039,82.65258597694562,86.40540008691842,97.24410208918297,89.13094533024001,90.06738886377308,83.57663184548824,100.54146472504392,97.28001102708558,81.45200569917812,81.14838442411829
2040,74.73904051106784,96.47661774410825,72.20737431249034,82.98061722968677,107.63906450609224,141.35176112366472,89.46649495169139,103.46779066488769,109.1603259947907,90.10137519391537
2041,4.019578649334742,9.31822942113826,8.254863143764599,7.41944342288964,1.8073723517813995,5.463847602489547,5.007812419255061,4.869072501877067,6.587261051409783,6.381387038046861
2042,126.99356295241948,159.162888395402,148.5875365877628,160.00615486994894,158.54671908126832,151.4699974245713,143.01156620372626,150.02829646408713,154.957474256973,144.58127647395725
2043,24.368695561591867,18.44821178326363,15.149034560535034,16.30325067924434,19.17822884390263,23.676672944121364,18.971904742177827,16.433119693835103,19.76178315422935,14.477176563927205
2044,116.06533349954066,87.62900597050222,87.99139834562266,86.9832117078246,87.45673991119993,91.87358561223162,90.04431946160543,97.88864508982022,104.35057983026927,107.6263784028799
2045,164.30027729155756,166.69277075591776,179.42988239963054,187.34094642796342,164.27006486190942,169.480458040185,184.4223227475662,171.6348056911666,180.3654811695536,188.8700074096556
2046,339.1519485376188,368.58774154724676,376.54875725018525,419.39380190439334,360.9724224807851,395.11712755040145,384.6385154327829,407.7848220322044,365.1224697067137,379.74015105511694
2047,56.902160254644926,48.473617695820245,51.61557284397865,37.68296264783422,49.30110137359262,35.51500941618205,43.818358668481785,31.851849283112482,40.36004390228852,40.955170542688805
2048,197.08496565019405,169.1399825230854,172.44499820106049,181.28824258297448,167.8848095654722,187.3897362927896,157.26457078160607,182.18446277856694,173.0463022235427,185.63169159930345
2049,128.62651677871173,114.26596482082675,141.87479073459158,129.64501138944004,133.24350615632872,124.55548886415983,141.27809267398413,140.59446849170033,97.65875907963077,145.05749938724432
2050,16.70637376129752,9.412352950644708,8.34557592556421,11.51966215659181,9.237680909104931,10.118236300906567,12.134314708194955,5.579145575067473,9.201253532127952,14.85815489455687
2051,80.76840848506995,85.08767067382817,90.53135623601176,85.22597510766653,83.03871860684542,92.17713270125881,88.50345410183465,80.44113529142739,82.28848329300793,83.0532760772666
2052,49.11422662155887,51.10907652200076,61.866117187334694,62.28427505004724,61.14943123527068,56.156211470031444,63.17547975060231,52.038212363811155,56.98503607965606,51.81305296563421
2053,99.23334790545142,96.66486480312115,114.93309454010712,113.43938496576003,91.37271334005965,114.23488783723515,125.00270231140519,111.0757164490706,95.0447665989126,95.33982724007325
2054,105.63955137782867,105.9830942242594,105.7711035783464,97.33138279764437,97.4976974210966,105.33083989243735,111.71273858338213,102.65627858124151,104.24602013104054,108.2930904814818
2055,300.7147277033553,232.57924141043074,316.76903404424155,341.78251873074515,233.8539004054933,294.7442234454083,314.8180538181691,309.59185991101685,274.15553137772145,347.0712592036233
2056,15.3246436005887,18.16584119474429,17.144715760126473,20.696342179639522,18.87700011860573,16.897454622513965,19.164512912149174,15.925924641556241,17.14779067351118,20.096606940714743
2057,83.28064514090417,103.53588245709179,119.0151697210896,106.21519005399905,111.0529900594571,99.76580992693874,113.15729985816725,114.93039884638995,104.14146043181181,112.57909670106552
2058,91.44541427236535,102.12402951449508,79.64582242005844,88.74044830798267,95.69032506931521,92.68304451630415,95.53365230578886,81.96272044826397,97.97243817731695,96.57800681461966
