,DFC_126_2_Acetyl_norm,DFC_127N_2_Acetyl_norm,DKO_127C_2_Acetyl_norm,DKO_128N_2_Acetyl_norm,DKO_128C_2_Acetyl_norm,S3FL_129N_2_Acetyl_norm,S3FL_129C_2_Acetyl_norm,S3KO_130N_2_Acetyl_norm,S3KO_130C_2_Acetyl_norm,S3KO_131_2_Acetyl_norm
11456,62.05324346963712,75.22770374890342,543.4415234283802,389.9301156081739,446.9470750437109,47.00654546720705,77.24818649497882,130.4156449494219,131.38006341070368,101.89528878451245
11466,7.541192782768399,2.1229904125457404,311.6930569847496,214.7468326784282,258.8183177092202,0.3154801709208526,3.7705622944983403,85.34399805490169,93.493719543431,73.94748812536655
11467,6.032954226214719,7.661226271360717,18.714301876671062,16.367898832197273,22.80971279533421,6.940563760258757,12.181816643763868,5.320958313936413,6.3143906445454485,8.264719261070379
11475,39.968321748672516,12.553334613313945,813.0728242534273,582.9777909776319,707.1010966553606,22.714572306301392,43.02308259107081,260.3096273190461,257.36234127042496,187.04364643475068
11476,5.8174915752784795,4.707500479992729,26.799607056397882,20.20266370145492,23.22069861146636,6.940563760258757,6.090908321881934,6.781613537369939,10.184501039589433,7.938480342870232
11477,118.18126403852763,120.91814958412697,2348.7357316478333,1622.292601396924,2096.6441409981526,114.30898193032228,186.98121737332798,749.1074645894794,827.3888644562455,652.8040753184932
11492,2.6932831367029997,3.784461170190233,12.355073083627497,11.878418009651734,11.713095759766217,2.2083611964459684,5.12409747713877,6.468615989491326,8.554980873255124,3.044896569868034
11493,42.015216932566794,27.32196357015388,1854.987038930808,1292.596353491236,1843.0658924446175,102.4258954923035,73.76766745390343,616.0835067410691,700.3881364925653,518.719879938233
11495,1.40050723108556,5.169020134893977,64.68244143781455,42.55653696371291,66.68244866744101,1.787720968551498,1.0634919292174807,8.659598824641614,10.082656029193538,8.155972955003664
11499,3.33967108951172,2.5845100674469883,16.715687113143083,9.633677598378966,14.692742926724291,7.150883874205992,5.704183983984669,1.8779852872716754,2.9535053014809356,5.654807915469207
11504,19.283907258793477,20.676080539575906,89.57427985629936,58.643843244501085,78.29279797317419,12.198566608939634,23.976908949630474,26.08312898988438,28.414757900454518,22.619231661876828
11505,3.2319397640435996,2.1229904125457404,15.262149103304557,11.410763757303242,10.788377673468885,1.5774008546042633,2.4170271118579105,2.7126454149479757,5.805165592565977,5.654807915469207
11507,6.248416877150959,1.7537746886247423,17.44245611806235,11.971948860121435,14.589996472691253,6.519923532364288,4.737373139241505,8.86826385656069,5.805165592565977,3.044896569868034
11508,130.67809779282953,178.79271430874346,1024.2900663080884,713.6403890838011,951.0211785297904,124.61466751373679,249.82392228163363,329.27342036830044,373.2619631009527,261.5348660904508
11511,1.40050723108556,4.892108341953228,7.9944590541119105,6.640690383348607,6.678519512147405,1.6825609115778808,4.834054223715821,8.137936244843926,4.583025467815245,3.044896569868034
11514,2.37008916029864,6.092059444696472,21.984762398807753,11.691356308712338,15.103728742856438,4.521882449865554,1.2568540981661136,1.6693202553526003,8.351290852463334,6.9597635882697935
11517,7.325730131832159,5.353627996854477,44.33290930007514,24.97273707540955,35.447526641397765,6.309603418417053,7.637805673470998,13.45889455878034,15.276751559384149,16.529438522140758
11520,15.082385565536798,18.46078619604992,46.604062440447834,39.00236464586436,46.03041140680057,13.986287577491135,17.78931954327422,11.476576755549127,15.989666632155409,5.328568997269061
11523,6.032954226214719,3.6921572392099837,43.696986420770784,33.484044468152135,40.07111707288443,7.150883874205992,1.3535351826404298,16.38020500564739,15.073061538592361,16.74693113427419
11525,7.541192782768399,5.169020134893977,73.85790012492026,59.76621345013747,71.9225178231259,3.1548017092085265,4.06060554792129,24.100811186653168,27.396307796495574,22.83672427401026
11527,8.187580735577118,8.584265581163212,262.99953365515887,205.30021678098865,229.22733894770553,5.678643076575348,10.151513869803225,58.63487396926009,76.89298284890022,72.2075472282991
11528,24.131816904858876,29.53725791367987,292.97875510807853,214.2791784260797,262.61993650844255,16.930769172752427,34.418466072856646,104.74984602337568,101.13209532312307,83.29967044710408
11529,4.74017832059728,4.153676894111232,299.3379839011221,205.76787103333714,251.52331947287456,3.680601994076614,9.571427362957326,49.03628250098264,56.014755717741885,38.16995342941715
11530,11.419520499620718,17.260835093306675,155.61941317833754,101.1068493577443,132.33743279455166,13.775967463543898,19.046173641440337,43.19366160724853,53.77416548903221,41.75858152961876
11531,1.40050723108556,5.261324065874227,15.716379731379096,13.281380766697215,9.55542022507244,2.2083611964459684,4.544010970292872,2.8169779309075134,3.05535031187683,2.0661798152675948
11532,6.463879528087199,4.43058868705198,159.25325820293386,103.53865146995646,135.0088405994106,7.466364045126845,6.670994828727833,31.717084851699404,32.081178274706716,27.077830210612163
11534,1.6159698820217998,2.769117929407488,89.12004922822481,66.87455808583456,77.05984052477774,4.627042506839173,7.251081335573732,18.988517904635827,18.026566840073297,15.985706991807179
11535,148.56149782053748,181.1003125832497,642.1004158461702,481.49681821800885,573.6334528664455,111.36450033506098,204.57717474765354,182.79056796110973,178.0250781720233,146.04628904759895
11538,35.12041210260712,32.767895497988604,1288.1072150937816,921.9335930798202,1174.1864766895467,27.236454756166943,53.36795862982267,392.8119225876588,424.7955383612753,313.7330930024743
11539,4.52471566966104,4.0613729631309825,214.66939482802778,143.85044802239662,180.73101264411207,9.569565184599195,10.924962545597756,41.31567631997686,41.75645426231667,39.366162796151016
