,CrATFL_126_1_Acetyl_norm,CrATFL_127N_1_Acetyl_norm,CrATFL_127C_1_Acetyl_norm,CrATKO_128N_1_Acetyl_norm,CrATKO_128C_1_Acetyl_norm,CrATKO_129N_1_Acetyl_norm,DFC_129C_1_Acetyl_norm,DFC_130N_1_Acetyl_norm,DKO_130C_1_Acetyl_norm,DKO_131_1_Acetyl_norm
27887,7.66232180029435,8.565241185086684,9.796980434357987,7.02894640063229,8.434404308313198,7.993406677716188,10.882361603381192,8.216559846917551,17.56602947042609,15.715356138473613
27891,32.15662919467793,26.73108237983097,30.751633030068124,29.87302220268724,24.80116504944476,37.03274486131804,23.69080490647587,25.664069645310377,27.3946411979264,25.62079273484486
27906,38.68844449984689,37.83765886159173,40.276475119027275,56.52444397175134,41.97120239136805,44.41905736097983,45.74444036819527,45.038920642362875,74.23738645239597,65.5282728683021
27912,26.880932217426082,26.73108237983097,27.48597288528213,28.2134098580935,33.93843638345072,27.521602738465862,32.9359970651006,21.200753185256396,42.242118488405595,38.76454514156825
27950,304.35747085431495,251.78044142974593,254.17721460250996,288.38205093705255,259.45834205572976,247.59324228318368,253.1834394273376,255.7277453590018,293.080836938121,277.82844761168195
27975,37.181102506346356,34.260964740346736,31.93089919346307,40.12356903694266,38.25604811270629,39.157574484508416,33.51382157501464,32.257605324935575,49.97953623133137,49.24144923388399
28060,22.10768257134108,29.178294146998596,28.755951830476683,37.68296264783422,33.13515978265899,33.2889974299826,35.343599189742456,36.41660475362223,255.23022581732192,176.67870082950637
28062,20.097893246673706,22.966141199573087,25.49029168569069,27.725288580271812,40.56546833998252,29.44406763563811,24.557541671346936,22.418021310725667,99.54083366574784,80.0054494322293
28063,88.93317761653115,67.580694185629,70.39311867649812,100.35773472013881,110.35012303376435,90.05230307806845,85.90324380722144,53.45835851019197,368.67749948049044,291.9246458449795
28065,108.02617620087118,91.58219420977301,88.26353669102149,138.13832162353737,149.81108604765822,116.96681163847991,96.01517273071724,83.17998857373324,193.95824206928808,156.10587097550456
28066,81.01963215065338,78.96964125590911,83.3650464738425,100.26011046457448,115.2701922136137,105.63438698146456,81.85847223782312,80.33969628097161,145.86078042407377,136.4854869480769
28199,202.48627446023758,161.61010016256964,157.38667642232505,290.7250330705967,284.2595071051746,252.85472515965512,188.75600657192155,124.56710483968831,869.2047796884052,722.5254040391566
28203,44.96903613943241,47.06176475322354,45.17496533620627,70.19183975075858,69.48342596848492,67.38745376403773,49.500299682636566,38.749701994104996,146.59269831867485,136.86646527870653
28206,64.06203472377244,53.46216475966194,52.25056231657593,72.53482188430266,82.03462285585574,74.5714015376814,63.75330426051636,50.415188196518805,265.37251664250846,244.9690665948735
28221,28.2626623781349,33.978594151827394,27.032408976284074,38.561580947913264,43.37693644275359,32.378356162901014,28.7949214107166,22.012265268902574,183.29315274795795,147.53385853633714
28226,3.642743150959609,6.77689412446419,5.352054126177048,8.005188956275664,5.522526630443165,7.588677225679925,9.437800328596078,7.3036087528156015,9.096693832899224,10.095925761686077
28227,6.406203472377244,3.2002000032192006,6.168469162373547,7.614691934018315,5.120888330047299,7.791041951698056,6.837590033982872,8.520876878284868,8.992134133670497,9.524458265741583
28237,98.22845324311774,81.41685302307673,73.65877882128413,119.29684029962027,124.90951142311451,106.74739297456428,89.27388678172004,60.15333320027293,180.99283936492594,175.6310104202748
